strategy_name,role,symbol,learning_score,learning_status,recommendation,suggested_allocation_multiplier,evidence_label,live_trade_count,live_win_rate_percent,live_profit_factor,live_expectancy_percent,hall_score,hall_profit_factor,hall_consistency_percent,hall_drawdown_percent,reasons
MM-0013,LONG,MULTI,76.761,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,36.5173,1.5328,88.89,1.7784,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0007,LONG,MULTI,75.3206,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,35.7882,1.4438,88.89,1.7045,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0015,LONG,MULTI,74.9294,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,34.8416,1.5316,88.89,1.9879,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0017,LONG,MULTI,74.8745,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,34.7659,1.5316,88.89,1.9879,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0121,LONG,MULTI,72.8789,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,33.8931,1.6423,77.78,1.4807,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0009,LONG,MULTI,72.7931,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,33.5818,1.4597,88.89,2.2955,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0011,LONG,MULTI,72.7384,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,33.506,1.4597,88.89,2.2955,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0036,LONG,MULTI,72.0737,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,53.8352,2.3366,0.0,1.1961,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0033,LONG,MULTI,71.8197,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,53.2197,2.3082,0.0,1.1961,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0031,LONG,MULTI,71.6219,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,52.7448,2.2874,0.0,1.1468,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0034,LONG,MULTI,71.6219,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,52.7448,2.2874,0.0,1.1468,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0040,LONG,MULTI,71.485,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,52.3553,2.233,0.0,1.2791,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0043,LONG,MULTI,71.485,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,52.3553,2.233,0.0,1.2791,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0045,LONG,MULTI,71.3789,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,52.5952,2.2754,0.0,1.7676,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0001,LONG,MULTI,70.6722,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,32.7391,1.5105,77.78,1.8614,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0081,LONG,MULTI,70.4993,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,53.0156,2.476,0.0,2.1475,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0115,LONG,MULTI,70.4417,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,32.6585,1.5076,77.78,1.4523,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0117,LONG,MULTI,70.1147,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,58.8061,3.3351,0.0,1.1387,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0114,LONG,MULTI,69.8613,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,57.9365,3.2748,0.0,1.1387,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0135,LONG,MULTI,69.6257,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,56.7643,3.1368,0.0,1.3837,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0499,LONG,MULTI,69.4201,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,31.9175,1.496,77.78,1.2623,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0132,LONG,MULTI,69.3738,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,55.9302,3.0809,0.0,1.3837,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0240,LONG,MULTI,69.3146,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,52.9049,2.7255,0.0,1.7134,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0807,LONG,MULTI,69.3146,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,52.9049,2.7255,0.0,1.7134,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0126,LONG,MULTI,69.3118,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,55.2519,3.0257,0.0,1.3837,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0112,LONG,MULTI,69.1759,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,56.5381,3.231,0.0,1.1387,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0115,LONG,MULTI,69.1759,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,56.5381,3.231,0.0,1.1387,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0123,LONG,MULTI,69.0604,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,54.4279,2.971,0.0,1.3837,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0130,LONG,MULTI,68.9118,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,54.9389,3.0467,0.0,1.2145,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0133,LONG,MULTI,68.9118,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,54.9389,3.0467,0.0,1.2145,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0003,LONG,MULTI,68.1993,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.947,1.4345,77.78,2.1027,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0005,LONG,MULTI,68.1662,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.9013,1.4345,77.78,2.1027,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0122,LONG,MULTI,67.7837,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.279,1.481,77.78,1.5043,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0016,LONG,MULTI,67.6348,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.5408,1.4247,77.78,2.4013,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0018,LONG,MULTI,67.6033,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.497,1.4247,77.78,2.4013,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0014,LONG,MULTI,67.5002,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.361,1.4019,77.78,1.7784,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0010,LONG,MULTI,67.2466,RESEARCH_PRIOR_ONLY,HOLD,1.0,NO_LIVE_EVIDENCE,0,0.0,0.0,0.0,30.1945,1.4,77.78,2.2955,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
